participant_id,bias_name,description,age_group,profession,prevalence_score,awareness,corrected_score
P034,Authority Bias,Overvaluing opinions of authority figures,51-65,Other,0.922,No,0.892
P035,Authority Bias,Overvaluing opinions of authority figures,26-35,Education,0.743,No,0.713
P036,Authority Bias,Overvaluing opinions of authority figures,65+,Other,0.793,Yes,0.843
P037,Authority Bias,Overvaluing opinions of authority figures,36-50,Education,0.531,Yes,0.581
P038,Authority Bias,Overvaluing opinions of authority figures,26-35,Student,0.734,No,0.704
P039,Authority Bias,Overvaluing opinions of authority figures,18-25,Education,0.714,Yes,0.764
P040,Authority Bias,Overvaluing opinions of authority figures,36-50,Finance,0.825,Yes,0.875
P041,Authority Bias,Overvaluing opinions of authority figures,51-65,Student,0.437,Yes,0.487
P042,Authority Bias,Overvaluing opinions of authority figures,26-35,Healthcare,0.582,No,0.552
P043,Authority Bias,Overvaluing opinions of authority figures,36-50,Education,0.675,No,0.645
P044,Authority Bias,Overvaluing opinions of authority figures,51-65,Finance,0.279,Yes,0.329
P045,Authority Bias,Overvaluing opinions of authority figures,36-50,Healthcare,0.424,Yes,0.474
P046,Authority Bias,Overvaluing opinions of authority figures,26-35,Healthcare,0.696,No,0.666
P047,Authority Bias,Overvaluing opinions of authority figures,26-35,Education,0.753,No,0.723
P048,Authority Bias,Overvaluing opinions of authority figures,36-50,Student,0.983,No,0.953
P049,Authority Bias,Overvaluing opinions of authority figures,36-50,Student,0.753,No,0.723
P050,Authority Bias,Overvaluing opinions of authority figures,51-65,Healthcare,0.688,No,0.658
P001,Status Quo Bias,Preferring things stay the same over making changes,18-25,Student,0.44,No,0.41
P002,Status Quo Bias,Preferring things stay the same over making changes,51-65,Healthcare,0.488,No,0.458
P003,Status Quo Bias,Preferring things stay the same over making changes,26-35,Student,0.418,No,0.388
P004,Status Quo Bias,Preferring things stay the same over making changes,18-25,Other,0.644,Yes,0.694
P005,Status Quo Bias,Preferring things stay the same over making changes,26-35,Healthcare,0.25,Yes,0.3
P006,Status Quo Bias,Preferring things stay the same over making changes,36-50,Healthcare,0.491,No,0.461
P007,Status Quo Bias,Preferring things stay the same over making changes,18-25,Student,0.591,No,0.561
P008,Status Quo Bias,Preferring things stay the same over making changes,18-25,Healthcare,0.639,Yes,0.689
P009,Status Quo Bias,Preferring things stay the same over making changes,26-35,Education,0.312,Yes,0.362
P010,Status Quo Bias,Preferring things stay the same over making changes,36-50,Healthcare,0.659,No,0.629
P011,Status Quo Bias,Preferring things stay the same over making changes,65+,Other,0.576,Yes,0.626
P012,Status Quo Bias,Preferring things stay the same over making changes,51-65,Student,0.291,No,0.261
P013,Status Quo Bias,Preferring things stay the same over making changes,26-35,Finance,0.488,Yes,0.538
P014,Status Quo Bias,Preferring things stay the same over making changes,65+,Finance,0.736,No,0.706
P015,Status Quo Bias,Preferring things stay the same over making changes,18-25,Finance,0.415,Yes,0.465
P016,Status Quo Bias,Preferring things stay the same over making changes,51-65,Education,0.728,No,0.698
P017,Status Quo Bias,Preferring things stay the same over making changes,18-25,Finance,0.479,No,0.449
P018,Status Quo Bias,Preferring things stay the same over making changes,65+,Finance,0.864,Yes,0.914
P019,Status Quo Bias,Preferring things stay the same over making changes,26-35,Student,0.638,No,0.608
P020,Status Quo Bias,Preferring things stay the same over making changes,51-65,Other,0.79,No,0.76
P021,Status Quo Bias,Preferring things stay the same over making changes,36-50,Finance,0.683,No,0.653
P022,Status Quo Bias,Preferring things stay the same over making changes,18-25,Other,0.9,Yes,0.95
P023,Status Quo Bias,Preferring things stay the same over making changes,65+,Student,0.417,Yes,0.467
P024,Status Quo Bias,Preferring things stay the same over making changes,36-50,Tech,0.685,No,0.655
P025,Status Quo Bias,Preferring things stay the same over making changes,36-50,Tech,0.514,No,0.484
P026,Status Quo Bias,Preferring things stay the same over making changes,51-65,Healthcare,0.318,No,0.288
P027,Status Quo Bias,Preferring things stay the same over making changes,51-65,Tech,0.617,No,0.587
P028,Status Quo Bias,Preferring things stay the same over making changes,18-25,Student,0.544,Yes,0.594
P029,Status Quo Bias,Preferring things stay the same over making changes,18-25,Education,0.555,No,0.525
P030,Status Quo Bias,Preferring things stay the same over making changes,26-35,Healthcare,0.58,Yes,0.63
P031,Status Quo Bias,Preferring things stay the same over making changes,36-50,Tech,0.494,No,0.464
P032,Status Quo Bias,Preferring things stay the same over making changes,26-35,Education,0.561,Yes,0.611
P033,Status Quo Bias,Preferring things stay the same over making changes,18-25,Tech,0.659,No,0.629
P034,Status Quo Bias,Preferring things stay the same over making changes,36-50,Other,0.22,No,0.19
P035,Status Quo Bias,Preferring things stay the same over making changes,51-65,Tech,0.81,Yes,0.86
P036,Status Quo Bias,Preferring things stay the same over making changes,26-35,Healthcare,0.329,Yes,0.379
P037,Status Quo Bias,Preferring things stay the same over making changes,26-35,Education,0.649,No,0.619
P038,Status Quo Bias,Preferring things stay the same over making changes,36-50,Finance,0.355,Yes,0.405
P039,Status Quo Bias,Preferring things stay the same over making changes,26-35,Tech,0.789,Yes,0.839
P040,Status Quo Bias,Preferring things stay the same over making changes,18-25,Finance,0.506,No,0.476
P041,Status Quo Bias,Preferring things stay the same over making changes,36-50,Tech,0.45,Yes,0.5
P042,Status Quo Bias,Preferring things stay the same over making changes,26-35,Other,0.389,Yes,0.439
P043,Status Quo Bias,Preferring things stay the same over making changes,36-50,Other,0.546,No,0.516
P044,Status Quo Bias,Preferring things stay the same over making changes,26-35,Other,0.605,No,0.575
P045,Status Quo Bias,Preferring things stay the same over making changes,65+,Student,0.545,No,0.515
P046,Status Quo Bias,Preferring things stay the same over making changes,51-65,Student,0.714,Yes,0.764
P047,Status Quo Bias,Preferring things stay the same over making changes,36-50,Finance,0.427,Yes,0.477
P048,Status Quo Bias,Preferring things stay the same over making changes,26-35,Healthcare,0.472,Yes,0.522
P049,Status Quo Bias,Preferring things stay the same over making changes,26-35,Education,0.614,No,0.584
P050,Status Quo Bias,Preferring things stay the same over making changes,18-25,Finance,0.562,Yes,0.612
P001,Peak-End Rule,Judging experiences by peak moment and ending vs the average,26-35,Other,0.592,No,0.562
P002,Peak-End Rule,Judging experiences by peak moment and ending vs the average,51-65,Tech,0.708,Yes,0.758
P003,Peak-End Rule,Judging experiences by peak moment and ending vs the average,36-50,Tech,0.839,No,0.809
P004,Peak-End Rule,Judging experiences by peak moment and ending vs the average,65+,Healthcare,0.8,Yes,0.85
P005,Peak-End Rule,Judging experiences by peak moment and ending vs the average,65+,Student,0.668,No,0.638
P006,Peak-End Rule,Judging experiences by peak moment and ending vs the average,18-25,Student,0.424,No,0.394
P007,Peak-End Rule,Judging experiences by peak moment and ending vs the average,18-25,Healthcare,0.572,No,0.542
P008,Peak-End Rule,Judging experiences by peak moment and ending vs the average,36-50,Student,0.556,No,0.526
P009,Peak-End Rule,Judging experiences by peak moment and ending vs the average,26-35,Finance,0.793,Yes,0.843
P010,Peak-End Rule,Judging experiences by peak moment and ending vs the average,51-65,Finance,0.933,Yes,0.983
P011,Peak-End Rule,Judging experiences by peak moment and ending vs the average,18-25,Student,0.674,No,0.644
P012,Peak-End Rule,Judging experiences by peak moment and ending vs the average,65+,Education,0.568,Yes,0.618
P013,Peak-End Rule,Judging experiences by peak moment and ending vs the average,51-65,Tech,0.716,No,0.686
P014,Peak-End Rule,Judging experiences by peak moment and ending vs the average,36-50,Tech,0.779,Yes,0.829
P015,Peak-End Rule,Judging experiences by peak moment and ending vs the average,65+,Tech,0.947,No,0.917
P016,Peak-End Rule,Judging experiences by peak moment and ending vs the average,65+,Education,0.595,Yes,0.645
P017,Peak-End Rule,Judging experiences by peak moment and ending vs the average,18-25,Student,0.659,No,0.629
P018,Peak-End Rule,Judging experiences by peak moment and ending vs the average,65+,Tech,0.651,No,0.621
P019,Peak-End Rule,Judging experiences by peak moment and ending vs the average,26-35,Student,0.62,Yes,0.67
P020,Peak-End Rule,Judging experiences by peak moment and ending vs the average,18-25,Healthcare,0.533,No,0.503
P021,Peak-End Rule,Judging experiences by peak moment and ending vs the average,65+,Student,0.538,Yes,0.588
P022,Peak-End Rule,Judging experiences by peak moment and ending vs the average,65+,Tech,0.925,Yes,0.975
P023,Peak-End Rule,Judging experiences by peak moment and ending vs the average,65+,Education,0.607,Yes,0.657
P024,Peak-End Rule,Judging experiences by peak moment and ending vs the average,65+,Finance,0.568,No,0.538
P025,Peak-End Rule,Judging experiences by peak moment and ending vs the average,18-25,Tech,0.451,No,0.421
P026,Peak-End Rule,Judging experiences by peak moment and ending vs the average,36-50,Student,0.464,No,0.434
P027,Peak-End Rule,Judging experiences by peak moment and ending vs the average,51-65,Education,0.639,No,0.609
P028,Peak-End Rule,Judging experiences by peak moment and ending vs the average,51-65,Healthcare,0.609,Yes,0.659
P029,Peak-End Rule,Judging experiences by peak moment and ending vs the average,26-35,Tech,0.597,Yes,0.647
P030,Peak-End Rule,Judging experiences by peak moment and ending vs the average,36-50,Tech,0.395,Yes,0.445
P031,Peak-End Rule,Judging experiences by peak moment and ending vs the average,26-35,Other,0.42,No,0.39
P032,Peak-End Rule,Judging experiences by peak moment and ending vs the average,51-65,Student,0.978,No,0.948
P033,Peak-End Rule,Judging experiences by peak moment and ending vs the average,36-50,Student,0.622,Yes,0.672
P034,Peak-End Rule,Judging experiences by peak moment and ending vs the average,18-25,Finance,0.407,No,0.377
P035,Peak-End Rule,Judging experiences by peak moment and ending vs the average,18-25,Other,0.592,Yes,0.642
P036,Peak-End Rule,Judging experiences by peak moment and ending vs the average,51-65,Other,0.484,No,0.454
P037,Peak-End Rule,Judging experiences by peak moment and ending vs the average,51-65,Tech,0.607,Yes,0.657
P038,Peak-End Rule,Judging experiences by peak moment and ending vs the average,18-25,Other,0.85,No,0.82
P039,Peak-End Rule,Judging experiences by peak moment and ending vs the average,65+,Tech,0.363,No,0.333
P040,Peak-End Rule,Judging experiences by peak moment and ending vs the average,65+,Finance,0.731,No,0.701
P041,Peak-End Rule,Judging experiences by peak moment and ending vs the average,65+,Education,0.501,Yes,0.551
P042,Peak-End Rule,Judging experiences by peak moment and ending vs the average,36-50,Tech,0.444,Yes,0.494
P043,Peak-End Rule,Judging experiences by peak moment and ending vs the average,65+,Healthcare,0.335,No,0.305
P044,Peak-End Rule,Judging experiences by peak moment and ending vs the average,18-25,Healthcare,0.504,No,0.474
P045,Peak-End Rule,Judging experiences by peak moment and ending vs the average,51-65,Other,0.474,No,0.444
P046,Peak-End Rule,Judging experiences by peak moment and ending vs the average,51-65,Student,0.294,Yes,0.344
P047,Peak-End Rule,Judging experiences by peak moment and ending vs the average,36-50,Other,0.384,No,0.354
P048,Peak-End Rule,Judging experiences by peak moment and ending vs the average,18-25,Finance,0.46,No,0.43
P049,Peak-End Rule,Judging experiences by peak moment and ending vs the average,18-25,Student,0.743,No,0.713
P050,Peak-End Rule,Judging experiences by peak moment and ending vs the average,36-50,Healthcare,0.502,Yes,0.552
